DEU;VERIFICAR LANDER;https://www.autokennzeichen.info/
DEU;VERIFICAR DÍGITO DE CONTROL PERMISO DE CIRCULACIÓN;https://www.kneifel.de/TSN_Pruefziffer.php
DEU;ITV GTÜ;https://www.gtue.de/assets/ubsuche/relaunch/ubsuche_form.php
DEU;ITV – TÚV SÚD;https://auto-serviceportal.tuev-sued.de/suche_anonym/suche_kennzeichen
DEU;SOA;https://www.zentralruf.de/online-anfrage/anfrageformular
BEL;ESTADO DE MATRICULACIÓN - ITV;http://www.mobilit.fgov.be/WebdivPub_FR/wmvpstv1_fr?SUBSESSIONID=1368399
BEL;VERIFICAR MATRÍCULA Y VIN;https://rendez-vous.autosecurite.be/public/booking-process/vehicle?bkpId=e1zYkN
BEL;COMPROBAR ENTREGA O ANULACIÓN DE MATRÍCULA;https://www.bpost.be/lpo-public-web/searchPublicCimRequest.do?method=search
BEL;COMPAÑÍAS SOA BÉLGICA;https://www.assurances.be/compagnies-assurances-assureurs
BGR;ITV;https://rta.government.bg/services/check-inspection/index.html
BGR;SOA;http://eisoukr.guaranteefund.org/searchpolicy?pc=null&l=en
FRA;CARTA VERDE;https://www.bcf.asso.fr/sinistre-carte-verte/recherche-de-correspondant/
FRA;INFORMACIÓN DEL VEHÍCULO;https://siv-auto.fr/
FRA;HISTORIAL DEL VEHÍCULO;https://siv.interieur.gouv.fr/map-usg-ui/do/csa_retour_dem_certificat
FRA;VERIFICAR MARCA Y MODELO;https://autorigin.com/
FRA;IDENTIFICACIÓN VEHÍCULOS;https://begin.mongrossiste.fr/Vehicle/Search?cmsRequest=1&retUrl=http%3A%2F%2Fbegin.mongrossiste.fr%2F
FRA;CENTROS ITV;https://www.utac-otc.com/
FRA;VERIFICAR PROCESO DE TRANSACCIÓN VEHÍCULOS;https://immatriculation.ants.gouv.fr/
FRA;COMPROBAR EMPRESA ITV;https://www.utac-otc.com/vehicule_leger/Pages/Dernier-Lieu-passage.aspx
FRA;ASIGNACIÓN MATRICULA WW;http://stni.free.fr/observations/siv/historique/ww/
FRA;COMPROVACIÓN PROVISIONAL PNC;https://www.securite-routiere.gouv.fr/resultats-du-permis-de-conduire#/step-connexion
NLD;EXPORTACIÓN VEHÍCULOS;https://publiek.vwe.nl//
NLD;VERIFICAR PERMISO DE CIRCULACIÓN;https://documentnummercontroleren.rdw.nl/geldig
NLD;COMPROBAR VEHÍCULO;https://dagwaarde.nl/?kenteken
NLD;RDW – ESTADO DEL VEHÍCULO – SOA - ITV;https://ovi.rdw.nl/default.aspx
ITA;SOA;https://www.ilportaledellautomobilista.it/web/portale-automobilista/verifica-copertura-rc
ITA;SOA 2;https://servizi.ivass.it/RuirPubblica/
ITA;VEHÍCULOS ROBADOS;https://crimnet.dcpc.interno.gov.it/crimnet/it/veicoli/request.php
ITA;DOCUMENTOS ROBADOS;https://crimnet.dcpc.interno.gov.it/crimnet/ricerca-documenti-rubati-smarriti
ITA;CONSULTAR CERTIFICADO DE PROPIEDAD DIGITAL;https://iservizi.aci.it/consultacdpd/
ITA;VERIFICAR MATRÍCULA;https://www.sevim.it/gratis/targa.asp
ITA;ITV;https://www.ilportaledellautomobilista.it/web/portale-automobilista/verifica-ultima-revisione
